,doch,jedoch,aber,andererseits,allerdings,hingegen
(sme),0.0,0.0,1.0,0.0,0.0,0.0
(soya,0.0,0.0,1.0,0.0,0.0,0.0
(strengthening,0.0,1.0,0.0,0.0,0.0,0.0
(the,0.0,0.0,2.0,0.0,0.0,0.0
(three,1.0,0.0,0.0,0.0,0.0,0.0
(ukip),0.0,0.0,1.0,0.0,0.0,0.0
(while,0.0,1.0,0.0,0.0,0.0,0.0
(within,0.0,0.0,1.0,0.0,0.0,0.0
),0.0,0.0,1.0,0.0,0.0,0.0
+,0.0,1.0,0.0,0.0,0.0,0.0
-,82.0,70.0,276.0,5.0,36.0,4.0
-but,0.0,0.0,1.0,0.0,0.0,0.0
-type,1.0,0.0,0.0,0.0,0.0,0.0
0,0.0,2.0,2.0,0.0,0.0,0.0
0%,0.0,0.0,0.0,1.0,0.0,0.0
00,0.0,0.0,2.0,0.0,0.0,0.0
00%,0.0,0.0,1.0,0.0,0.0,0.0
000,3.0,3.0,6.0,1.0,0.0,0.0
1,7.0,4.0,4.0,2.0,1.0,0.0
1%,0.0,0.0,2.0,0.0,0.0,0.0
1-12,0.0,1.0,0.0,0.0,0.0,0.0
10,0.0,1.0,4.0,0.0,1.0,0.0
10%,2.0,0.0,4.0,0.0,0.0,0.0
100,0.0,1.0,3.0,0.0,1.0,0.0
100%,1.0,0.0,0.0,0.0,0.0,0.0
100c,0.0,0.0,1.0,0.0,0.0,0.0
102,1.0,0.0,0.0,0.0,0.0,0.0
11,3.0,4.0,2.0,1.0,1.0,0.0
11%,0.0,0.0,1.0,0.0,0.0,0.0
110,0.0,0.0,1.0,0.0,0.0,0.0
110(1),0.0,0.0,1.0,0.0,0.0,0.0
111,0.0,1.0,0.0,0.0,0.0,0.0
115,0.0,0.0,1.0,0.0,0.0,0.0
116,0.0,0.0,1.0,0.0,0.0,0.0
12,1.0,2.0,0.0,0.0,0.0,0.0
12%,0.0,1.0,0.0,0.0,0.0,0.0
12(1),0.0,1.0,0.0,0.0,0.0,0.0
12-day,0.0,0.0,1.0,0.0,0.0,0.0
120,0.0,0.0,1.0,0.0,0.0,0.0
121,0.0,0.0,1.0,0.0,0.0,0.0
13,2.0,1.0,2.0,0.0,0.0,0.0
14,0.0,2.0,3.0,0.0,1.0,0.0
140,0.0,0.0,1.0,0.0,0.0,0.0
1408,0.0,0.0,1.0,0.0,0.0,0.0
145th,0.0,0.0,1.0,0.0,0.0,0.0
15,4.0,3.0,5.0,1.0,0.0,1.0
15%,1.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,2.0,0.0,0.0,0.0
1500,1.0,0.0,0.0,0.0,0.0,0.0
16,2.0,1.0,0.0,0.0,0.0,0.0
169,1.0,0.0,1.0,0.0,0.0,0.0
17,3.0,0.0,7.0,0.0,2.0,0.0
17%,0.0,0.0,1.0,0.0,0.0,0.0
1732,0.0,0.0,0.0,0.0,0.0,1.0
175,1.0,0.0,0.0,0.0,0.0,0.0
18,1.0,1.0,0.0,0.0,0.0,0.0
1807,1.0,0.0,0.0,0.0,0.0,0.0
1864,1.0,0.0,0.0,0.0,0.0,0.0
1871,1.0,0.0,0.0,0.0,0.0,0.0
19,1.0,1.0,1.0,0.0,0.0,1.0
19%,0.0,0.0,1.0,0.0,0.0,0.0
1948,0.0,0.0,1.0,0.0,0.0,0.0
1952,0.0,0.0,1.0,0.0,0.0,0.0
1954,1.0,0.0,0.0,0.0,0.0,0.0
1959,1.0,0.0,0.0,0.0,0.0,0.0
1960s,0.0,0.0,1.0,0.0,0.0,0.0
1977,1.0,0.0,0.0,0.0,0.0,0.0
1978,0.0,0.0,1.0,0.0,0.0,0.0
1982,0.0,0.0,1.0,0.0,0.0,0.0
1984,1.0,0.0,0.0,0.0,0.0,0.0
1985,0.0,0.0,1.0,0.0,0.0,0.0
1986,2.0,0.0,0.0,0.0,0.0,0.0
1989,3.0,0.0,1.0,0.0,0.0,0.0
1990,2.0,1.0,1.0,0.0,0.0,0.0
1991,1.0,0.0,0.0,1.0,0.0,0.0
1993;,0.0,1.0,0.0,0.0,0.0,0.0
1994,0.0,1.0,2.0,0.0,0.0,0.0
1995,0.0,2.0,5.0,1.0,0.0,0.0
1996,0.0,1.0,3.0,0.0,0.0,0.0
1997,0.0,2.0,3.0,0.0,1.0,0.0
1998,1.0,2.0,2.0,0.0,1.0,0.0
1999,0.0,2.0,7.0,0.0,1.0,0.0
1b,0.0,1.0,0.0,0.0,0.0,0.0
2,2.0,3.0,10.0,0.0,2.0,1.0
2%,1.0,1.0,3.0,0.0,0.0,0.0
20,2.0,1.0,1.0,0.0,2.0,0.0
20%,0.0,1.0,1.0,0.0,0.0,0.0
20-20-20,0.0,1.0,0.0,0.0,0.0,0.0
200,0.0,0.0,2.0,0.0,0.0,0.0
2000,2.0,2.0,7.0,1.0,0.0,0.0
2000-2006,1.0,0.0,0.0,0.0,0.0,0.0
2001,1.0,0.0,3.0,0.0,0.0,0.0
2002,1.0,1.0,4.0,0.0,0.0,0.0
2003,2.0,5.0,2.0,0.0,0.0,1.0
2003-2006,0.0,1.0,0.0,0.0,0.0,0.0
2004,4.0,1.0,3.0,0.0,0.0,0.0
2005,1.0,2.0,5.0,0.0,1.0,0.0
2006,3.0,2.0,3.0,0.0,1.0,0.0
2007,2.0,1.0,3.0,0.0,1.0,0.0
2008,2.0,3.0,5.0,0.0,0.0,0.0
2009,3.0,2.0,1.0,0.0,0.0,0.0
2010,1.0,1.0,6.0,0.0,0.0,0.0
2011,0.0,0.0,1.0,0.0,1.0,0.0
2012,1.0,1.0,3.0,0.0,0.0,0.0
2013,1.0,0.0,2.0,0.0,0.0,0.0
2014,1.0,0.0,0.0,0.0,0.0,0.0
2015,2.0,0.0,1.0,0.0,0.0,0.0
2020,0.0,0.0,2.0,0.0,0.0,1.0
2020',0.0,0.0,1.0,0.0,0.0,0.0
2030,1.0,0.0,0.0,0.0,0.0,0.0
2050,0.0,0.0,1.0,0.0,0.0,0.0
20m,0.0,0.0,1.0,0.0,0.0,0.0
20th,0.0,0.0,1.0,0.0,0.0,0.0
21st,0.0,0.0,1.0,0.0,0.0,0.0
22,1.0,0.0,1.0,0.0,0.0,0.0
23,0.0,1.0,2.0,0.0,0.0,0.0
24,1.0,1.0,0.0,0.0,0.0,0.0
240,0.0,0.0,2.0,0.0,0.0,0.0
25,3.0,0.0,2.0,0.0,1.0,0.0
2560,0.0,0.0,1.0,0.0,0.0,0.0
25th,0.0,0.0,1.0,0.0,0.0,0.0
26,0.0,2.0,1.0,0.0,1.0,0.0
260,0.0,0.0,1.0,0.0,0.0,0.0
267,0.0,1.0,0.0,0.0,0.0,0.0
27,0.0,3.0,4.0,1.0,1.0,0.0
272,1.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,1.0,0.0
280,1.0,0.0,0.0,0.0,0.0,0.0
29,1.0,0.0,1.0,0.0,0.0,0.0
3,0.0,5.0,9.0,0.0,1.0,0.0
3%,0.0,2.0,0.0,0.0,0.0,0.0
30,2.0,2.0,3.0,0.0,0.0,0.0
30%,2.0,1.0,2.0,0.0,0.0,0.0
30-tonne,0.0,0.0,1.0,0.0,0.0,0.0
30-year,0.0,1.0,0.0,0.0,0.0,0.0
300,0.0,1.0,0.0,0.0,0.0,0.0
31,2.0,0.0,0.0,0.0,0.0,0.0
322,1.0,0.0,0.0,0.0,0.0,0.0
33,1.0,0.0,1.0,0.0,0.0,0.0
35,0.0,2.0,0.0,0.0,0.0,0.0
36,0.0,1.0,0.0,0.0,0.0,0.0
370,0.0,0.0,1.0,0.0,0.0,0.0
38,1.0,1.0,3.0,0.0,0.0,0.0
38%,1.0,0.0,0.0,0.0,0.0,0.0
380,0.0,0.0,2.0,0.0,0.0,0.0
39,0.0,0.0,1.0,0.0,0.0,0.0
391,0.0,0.0,1.0,0.0,0.0,0.0
4,0.0,3.0,5.0,0.0,1.0,0.0
4%,0.0,0.0,1.0,0.0,0.0,1.0
40,0.0,1.0,4.0,0.0,0.0,0.0
40%,0.0,0.0,1.0,0.0,1.0,0.0
40th,1.0,0.0,0.0,0.0,0.0,0.0
42,1.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,1.0,0.0,0.0,0.0
43),0.0,0.0,1.0,0.0,0.0,0.0
430,0.0,0.0,0.0,0.0,1.0,0.0
44(1),0.0,1.0,0.0,0.0,0.0,0.0
450,1.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,1.0,0.0,0.0,0.0
49,1.0,0.0,0.0,0.0,0.0,0.0
5,3.0,3.0,7.0,0.0,1.0,0.0
5%,0.0,2.0,1.0,0.0,0.0,0.0
50,1.0,0.0,5.0,0.0,0.0,0.0
50%,0.0,2.0,2.0,0.0,0.0,0.0
500,1.0,0.0,0.0,0.0,0.0,0.0
5000,1.0,0.0,0.0,0.0,0.0,0.0
51,1.0,1.0,0.0,0.0,0.0,0.0
51%,1.0,0.0,0.0,0.0,0.0,0.0
549,1.0,0.0,0.0,0.0,0.0,0.0
55-plus,0.0,1.0,0.0,0.0,0.0,0.0
56,0.0,0.0,2.0,0.0,0.0,0.0
57,1.0,0.0,0.0,0.0,0.0,0.0
57%,0.0,0.0,1.0,0.0,0.0,0.0
5b,0.0,1.0,0.0,0.0,0.0,0.0
6,0.0,2.0,3.0,0.0,0.0,0.0
6%,0.0,1.0,0.0,0.0,0.0,0.0
60,1.0,0.0,1.0,0.0,0.0,0.0
60%,0.0,0.0,1.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.0,1.0
63,1.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,1.0,0.0,0.0,0.0
6th,0.0,0.0,1.0,0.0,0.0,0.0
7,2.0,2.0,3.0,1.0,1.0,0.0
7%,0.0,1.0,2.0,0.0,0.0,0.0
7(1),0.0,0.0,0.0,0.0,1.0,0.0
7),0.0,0.0,0.0,0.0,1.0,0.0
70,0.0,2.0,2.0,0.0,0.0,0.0
70%,1.0,0.0,1.0,0.0,0.0,0.0
71,0.0,1.0,1.0,0.0,0.0,0.0
71%,0.0,0.0,1.0,0.0,0.0,0.0
73,0.0,0.0,1.0,0.0,0.0,0.0
732,0.0,1.0,0.0,0.0,0.0,0.0
75,1.0,0.0,1.0,0.0,0.0,0.0
76,1.0,0.0,0.0,0.0,0.0,0.0
77,1.0,0.0,0.0,0.0,1.0,0.0
78,0.0,0.0,1.0,0.0,1.0,0.0
79,0.0,0.0,1.0,0.0,0.0,0.0
8,2.0,0.0,6.0,0.0,0.0,0.0
8%,0.0,0.0,1.0,0.0,0.0,0.0
80,0.0,1.0,1.0,0.0,0.0,0.0
800,0.0,0.0,1.0,0.0,0.0,0.0
82,0.0,0.0,1.0,0.0,0.0,0.0
85,0.0,1.0,0.0,0.0,0.0,0.0
890,0.0,0.0,0.0,0.0,1.0,0.0
9,1.0,0.0,4.0,0.0,1.0,0.0
90,1.0,0.0,1.0,0.0,1.0,0.0
900,0.0,1.0,1.0,0.0,0.0,0.0
908,0.0,0.0,1.0,0.0,0.0,0.0
95%,1.0,0.0,2.0,0.0,0.0,0.0
96),0.0,1.0,0.0,0.0,0.0,0.0
97,0.0,1.0,0.0,0.0,0.0,0.0
97%,0.0,1.0,0.0,0.0,0.0,0.0
98,0.0,0.0,1.0,1.0,0.0,0.0
99,0.0,0.0,1.0,0.0,0.0,0.0
;,0.0,0.0,0.0,1.0,0.0,0.0
a,461.0,613.0,1212.0,47.0,174.0,25.0
abandon,1.0,0.0,2.0,0.0,0.0,0.0
abandoned,0.0,0.0,1.0,0.0,0.0,0.0
abandoning,0.0,1.0,1.0,0.0,0.0,0.0
abattoirs,0.0,0.0,1.0,0.0,0.0,0.0
abb,0.0,1.0,0.0,0.0,0.0,0.0
abdicate,1.0,0.0,0.0,0.0,0.0,0.0
abduction,0.0,0.0,1.0,0.0,0.0,0.0
aber,0.0,0.0,1.0,0.0,0.0,0.0
aberdeen,0.0,0.0,1.0,0.0,0.0,0.0
aberrations,0.0,0.0,1.0,0.0,0.0,0.0
abetting,0.0,0.0,1.0,0.0,0.0,0.0
abide,0.0,1.0,1.0,0.0,0.0,0.0
abiding,0.0,0.0,0.0,1.0,0.0,0.0
ability,1.0,1.0,5.0,0.0,0.0,0.0
abkhazia,0.0,0.0,1.0,0.0,0.0,0.0
able,16.0,14.0,33.0,3.0,0.0,0.0
abolish,1.0,0.0,1.0,0.0,0.0,0.0
abolished,0.0,2.0,1.0,1.0,0.0,0.0
abolishing,1.0,0.0,1.0,0.0,0.0,1.0
abolition,1.0,0.0,0.0,1.0,0.0,0.0
abominable,0.0,1.0,0.0,0.0,0.0,0.0
abominably,0.0,1.0,0.0,0.0,0.0,0.0
abomination,0.0,0.0,1.0,0.0,0.0,0.0
abort,0.0,0.0,1.0,0.0,0.0,0.0
abortion,1.0,1.0,2.0,0.0,1.0,0.0
abortions,1.0,0.0,0.0,0.0,0.0,1.0
about,61.0,55.0,166.0,6.0,18.0,1.0
above,15.0,10.0,80.0,0.0,0.0,0.0
above-board,0.0,0.0,1.0,0.0,0.0,0.0
abroad,0.0,0.0,0.0,0.0,1.0,0.0
abrupt,0.0,0.0,1.0,0.0,0.0,0.0
absence,2.0,4.0,6.0,1.0,3.0,0.0
absent,1.0,1.0,0.0,0.0,1.0,0.0
absolute,0.0,1.0,6.0,1.0,0.0,0.0
absolutely,5.0,14.0,18.0,1.0,1.0,0.0
absolve,0.0,2.0,2.0,0.0,0.0,0.0
absolved,0.0,0.0,1.0,0.0,0.0,0.0
absorb,0.0,1.0,0.0,0.0,0.0,0.0
absorbs,0.0,0.0,0.0,1.0,0.0,0.0
absorption,0.0,0.0,1.0,0.0,0.0,0.0
abstain,0.0,2.0,1.0,0.0,0.0,0.0
abstained,0.0,7.0,1.0,0.0,0.0,0.0
abstaining,0.0,0.0,1.0,0.0,1.0,0.0
abstentions,1.0,0.0,1.0,0.0,0.0,0.0
absurd,16.0,3.0,3.0,0.0,0.0,0.0
abundance,1.0,0.0,1.0,0.0,0.0,0.0
abundant,1.0,0.0,0.0,0.0,0.0,0.0
abundantly,1.0,1.0,1.0,0.0,0.0,0.0
abuse,1.0,0.0,3.0,1.0,0.0,0.0
abused,0.0,0.0,1.0,0.0,0.0,0.0
abuses,0.0,1.0,4.0,1.0,1.0,0.0
abyss,0.0,0.0,1.0,0.0,0.0,0.0
accede,0.0,1.0,3.0,0.0,0.0,0.0
acceding,0.0,0.0,1.0,0.0,0.0,0.0
accelerate,0.0,0.0,1.0,0.0,0.0,0.0
accelerated,0.0,0.0,1.0,0.0,0.0,0.0
acceleration,0.0,0.0,1.0,0.0,0.0,0.0
accent,0.0,1.0,0.0,0.0,0.0,0.0
accept,8.0,31.0,22.0,2.0,3.0,1.0
acceptable,7.0,6.0,9.0,0.0,5.0,2.0
acceptable;,1.0,0.0,0.0,0.0,0.0,0.0
acceptance,0.0,0.0,0.0,1.0,0.0,0.0
accepted,4.0,13.0,14.0,0.0,1.0,1.0
accepted;,0.0,0.0,1.0,0.0,0.0,0.0
accepting,0.0,1.0,4.0,0.0,0.0,0.0
accepts,0.0,2.0,3.0,0.0,1.0,0.0
access,7.0,3.0,14.0,0.0,0.0,0.0
accessibility,0.0,0.0,2.0,0.0,0.0,0.0
accessible,0.0,0.0,3.0,1.0,0.0,0.0
accessing,1.0,0.0,0.0,0.0,0.0,0.0
accession,2.0,4.0,10.0,1.0,1.0,0.0
accident,0.0,1.0,5.0,0.0,0.0,0.0
accidents,1.0,3.0,2.0,0.0,0.0,0.0
accidents;,0.0,0.0,1.0,0.0,0.0,0.0
acclaim,0.0,0.0,1.0,0.0,0.0,0.0
accommodate,0.0,0.0,2.0,0.0,0.0,0.0
accommodating,0.0,0.0,1.0,0.0,0.0,0.0
accommodation,0.0,1.0,0.0,0.0,0.0,0.0
accompanied,0.0,0.0,1.0,0.0,1.0,0.0
accompanying,0.0,1.0,0.0,0.0,0.0,0.0
accomplish,0.0,0.0,1.0,0.0,0.0,0.0
accomplished,1.0,0.0,2.0,0.0,0.0,0.0
accord,0.0,1.0,1.0,0.0,0.0,0.0
accordance,1.0,5.0,4.0,1.0,1.0,0.0
accorded,0.0,1.0,1.0,0.0,0.0,0.0
according,5.0,3.0,12.0,0.0,4.0,0.0
account,5.0,10.0,34.0,2.0,3.0,0.0
accountability,1.0,0.0,2.0,0.0,0.0,0.0
accountable,0.0,1.0,4.0,0.0,0.0,0.0
accountants,0.0,0.0,1.0,0.0,0.0,0.0
accounting,0.0,0.0,1.0,0.0,0.0,0.0
accounts,1.0,1.0,1.0,0.0,0.0,0.0
accruing,0.0,0.0,1.0,0.0,0.0,0.0
accuracy,0.0,1.0,0.0,0.0,0.0,0.0
accurate,4.0,2.0,5.0,0.0,0.0,0.0
accurately,0.0,0.0,0.0,0.0,1.0,0.0
accusation,0.0,0.0,1.0,0.0,0.0,0.0
accusations,0.0,0.0,5.0,0.0,0.0,0.0
accuse,0.0,0.0,1.0,0.0,0.0,0.0
accused,0.0,0.0,2.0,0.0,0.0,0.0
accustomed,1.0,0.0,0.0,0.0,0.0,0.0
achievable,1.0,0.0,1.0,0.0,0.0,0.0
achieve,11.0,21.0,28.0,1.0,4.0,3.0
achieved,0.0,12.0,23.0,1.0,4.0,1.0
achievement,1.0,2.0,4.0,1.0,0.0,0.0
achievements,2.0,1.0,2.0,0.0,1.0,0.0
achieving,1.0,5.0,10.0,1.0,0.0,0.0
acid,0.0,0.0,1.0,0.0,0.0,0.0
acknowledge,2.0,8.0,2.0,0.0,3.0,0.0
acknowledged,1.0,1.0,4.0,0.0,1.0,0.0
acknowledges,0.0,1.0,0.0,0.0,0.0,0.0
acknowledging,0.0,1.0,0.0,0.0,0.0,0.0
acp,0.0,0.0,2.0,0.0,0.0,0.0
acquainted,0.0,1.0,0.0,0.0,0.0,0.0
acquiesced,1.0,0.0,0.0,0.0,0.0,0.0
acquired,0.0,0.0,1.0,0.0,0.0,0.0
acquis,0.0,0.0,2.0,0.0,0.0,0.0
acrimonious,0.0,0.0,1.0,0.0,0.0,0.0
acrobatics,0.0,0.0,0.0,0.0,1.0,0.0
acropolis,0.0,0.0,1.0,0.0,0.0,0.0
across,4.0,4.0,8.0,1.0,0.0,0.0
act,4.0,9.0,20.0,2.0,4.0,0.0
acted,0.0,1.0,2.0,0.0,0.0,0.0
acting,0.0,1.0,4.0,0.0,0.0,0.0
action,9.0,18.0,51.0,6.0,0.0,0.0
actions,2.0,3.0,12.0,0.0,0.0,0.0
actions;,0.0,0.0,1.0,0.0,0.0,0.0
activate,0.0,1.0,0.0,0.0,0.0,0.0
active,2.0,2.0,10.0,0.0,1.0,0.0
actively,0.0,1.0,1.0,1.0,0.0,0.0
activists,0.0,1.0,0.0,0.0,0.0,0.0
activities,3.0,2.0,12.0,1.0,0.0,0.0
activities;,0.0,0.0,1.0,0.0,0.0,0.0
activity,3.0,3.0,3.0,0.0,1.0,0.0
actors,1.0,0.0,2.0,1.0,0.0,0.0
acts,1.0,3.0,5.0,1.0,0.0,0.0
actual,0.0,7.0,7.0,2.0,0.0,0.0
actually,24.0,8.0,29.0,0.0,5.0,3.0
acute,0.0,0.0,2.0,0.0,0.0,0.0
acutely,0.0,1.0,0.0,0.0,0.0,0.0
ad,2.0,0.0,2.0,0.0,0.0,0.0
adapt,0.0,1.0,1.0,0.0,0.0,0.0
adaptable,1.0,0.0,0.0,0.0,0.0,0.0
adaptation,1.0,0.0,1.0,0.0,0.0,0.0
adapted,0.0,0.0,1.0,0.0,0.0,0.0
adapting,1.0,0.0,1.0,0.0,0.0,0.0
add,5.0,17.0,13.0,0.0,3.0,0.0
added,3.0,4.0,10.0,0.0,0.0,0.0
addendum,0.0,1.0,0.0,0.0,0.0,0.0
adding,0.0,3.0,0.0,0.0,0.0,0.0
addition,3.0,3.0,5.0,0.0,1.0,0.0
additional,2.0,6.0,11.0,1.0,0.0,0.0
additionally,1.0,0.0,0.0,0.0,0.0,0.0
additions,0.0,1.0,0.0,0.0,0.0,0.0
additives,0.0,0.0,1.0,0.0,0.0,0.0
address,6.0,5.0,10.0,2.0,1.0,0.0
addressed,0.0,3.0,5.0,0.0,1.0,0.0
addresses,0.0,1.0,1.0,0.0,0.0,0.0
addressing,1.0,1.0,3.0,0.0,0.0,0.0
adds,0.0,2.0,1.0,0.0,1.0,0.0
aden,0.0,0.0,1.0,0.0,0.0,0.0
adequate,0.0,2.0,1.0,0.0,3.0,0.0
adequately,3.0,0.0,1.0,0.0,0.0,0.0
adhere,0.0,1.0,0.0,0.0,0.0,0.0
adherence,0.0,0.0,0.0,0.0,0.0,1.0
adheres,0.0,0.0,1.0,0.0,0.0,0.0
adjust,0.0,0.0,1.0,0.0,0.0,0.0
adjustment,0.0,2.0,1.0,0.0,1.0,0.0
adjustments,1.0,4.0,1.0,0.0,0.0,0.0
administer,0.0,1.0,0.0,0.0,0.0,0.0
